,dates,prices,volume_p,volume_i,volume_f
0,50103,893.71,-488,-507,995
1,50104,886.9,-63,-334,397
2,50105,885.19,10,-256,246
3,50106,871.28,858,-852,-6
4,50107,870.84,1143,-1321,178
5,50110,874.18,150,-590,440
6,50111,884.29,-648,682,-35
7,50112,880.03,16,-982,966
8,50113,885.54,-533,802,-269
9,50114,905.1,-3914,2022,1892
10,50117,923.08,-2578,-695,3273
11,50118,920.57,-434,-613,1047
12,50119,916.27,337,-79,-258
13,50120,909.37,605,-406,-199
14,50121,919.61,-161,1678,-1518
15,50124,923.11,-401,-839,1240
16,50125,915.1,74,-481,408
17,50126,927.0,-1862,1168,694
18,50127,924.87,-417,157,260
19,50128,921.59,-15,760,-745
20,50131,932.7,-1202,1670,-468
21,50201,923.69,814,-1769,955
22,50202,921.44,365,-28,-336
23,50203,928.79,-1224,822,402
24,50204,933.55,-938,969,-31
25,50207,949.19,-1886,93,1793
26,50211,947.23,662,-1666,1004
27,50214,964.79,-2181,1268,913
28,50215,968.88,122,-1175,1053
29,50216,971.56,-122,-1073,1195
30,50217,972.56,-587,113,474
31,50218,984.1,-1011,412,600
32,50221,988.71,3425,-5273,1848
33,50222,977.8,177,-1494,1316
34,50223,968.43,-615,1411,-796
35,50224,987.1,-1046,1131,-85
36,50225,996.95,-1315,-150,1465
37,50228,1011.36,-365,-2519,2884
38,50302,1007.48,2399,-2784,385
39,50303,1010.92,772,695,-1467
40,50304,1012.96,-296,724,-428
41,50307,1007.5,827,-725,-102
42,50308,1000.28,432,525,-957
43,50309,1008.79,-1739,3114,-1375
44,50310,998.66,2346,-699,-1647
45,50311,1022.79,-1972,3877,-1905
46,50314,1019.69,1196,-904,-291
47,50315,993.13,2428,-2398,-30
48,50316,993.13,-706,2731,-2025
49,50317,980.05,-116,1518,-1402
50,50318,979.72,-1914,2755,-841
51,50321,979.27,-924,1294,-370
52,50322,980.41,-104,1252,-1148
53,50323,966.81,887,109,-996
54,50324,956.33,514,1786,-2300
55,50325,965.3,-536,1164,-628
56,50328,977.7,-947,2089,-1143
57,50329,958.96,1364,-1154,-210
58,50330,955.45,568,1507,-2076
59,50331,965.68,-659,444,215
60,50401,981.9,-1610,1509,102
61,50404,982.5,51,-125,73
62,50406,988.0,-591,922,-331
63,50407,988.9,-979,964,15
64,50408,992.17,-168,1237,-1069
65,50411,985.94,739,-584,-155
66,50412,981.79,605,-795,190
67,50413,981.31,114,292,-406
68,50414,953.92,4340,-5223,883
69,50415,947.22,1633,-1776,144
70,50418,925.0,-450,839,-389
71,50419,932.45,615,-174,-440
72,50420,937.36,521,-1274,754
73,50421,939.14,-522,1496,-973
74,50422,940.79,-1274,559,716
75,50425,946.17,-614,1088,-475
76,50426,944.46,-977,434,543
77,50427,930.16,1317,-1011,-306
78,50428,917.73,348,906,-1254
79,50429,911.3,-807,1671,-865
80,50502,918.42,-513,429,83
81,50503,913.82,208,-219,12
82,50504,929.35,-550,1481,-931
83,50506,940.85,-1684,351,1333
84,50509,935.2,-216,-841,1058
85,50510,934.28,-819,881,-63
86,50511,923.38,-232,-192,423
87,50512,921.21,-128,829,-701
88,50513,923.19,-85,31,55
89,50516,929.04,-758,957,-200
90,50517,927.16,-515,400,115
91,50518,930.36,-1083,1354,-271
92,50519,952.09,-3520,3643,-124
93,50520,952.19,-1446,216,1230
94,50523,951.05,-285,808,-522
95,50524,951.61,-560,1052,-493
96,50525,941.3,-1037,0,1036
97,50526,943.91,-47,1517,-1470
98,50527,960.91,-2958,3044,-86
99,50530,969.04,-976,491,485
100,50531,970.21,-1100,1022,79
101,50601,969.51,-755,499,256
102,50602,970.88,-1360,-273,1633
103,50603,976.09,-1319,283,1035
104,50607,970.88,-107,-612,719
105,50608,976.22,-1644,2396,-753
106,50609,987.58,-747,886,-139
107,50610,990.79,-524,800,-275
108,50613,990.49,-171,-145,316
109,50614,983.75,-421,759,-338
110,50615,1001.94,-1688,2535,-847
111,50616,1003.14,-892,1264,-372
112,50617,1003.68,-602,589,12
113,50620,994.65,131,-252,121
114,50621,989.99,-54,1623,-1569
115,50622,1002.15,-645,1905,-1260
116,50623,1010.8,-1029,120,909
117,50624,1002.43,297,-327,30
118,50627,991.11,1002,-1471,469
119,50628,994.74,-836,219,617
120,50629,999.08,-1355,1911,-556
121,50630,1008.16,-1858,1417,442
122,50701,1018.02,-1043,-110,1153
123,50704,1021.71,-322,-758,1080
124,50705,1018.81,-504,-497,1002
